epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
15,4023.78,1.51386,1.40177,1.43143,0.65515,0.55481,0.61163,0.32134,1.69663,1.61163,1.53485,0.00802,0.00802,0.00802
16,4290.62,1.51005,1.4059,1.43088,0.60967,0.56895,0.59208,0.30949,1.68097,1.5914,1.53033,0.00787857,0.00787857,0.00787857
17,4557.83,1.48881,1.37812,1.41316,0.64678,0.57181,0.62195,0.33226,1.64656,1.80216,1.54984,0.00773714,0.00773714,0.00773714
18,4824.24,1.4883,1.35777,1.41459,0.67127,0.58481,0.64738,0.34708,1.60069,1.47491,1.4932,0.00759571,0.00759571,0.00759571
19,5090.08,1.48064,1.34985,1.40368,0.63955,0.59565,0.64312,0.3523,1.62052,1.45466,1.49381,0.00745429,0.00745429,0.00745429
20,5357.14,1.46919,1.33645,1.40074,0.67403,0.61501,0.66302,0.35928,1.62453,1.45004,1.51304,0.00731286,0.00731286,0.00731286
21,5623.63,1.46995,1.31843,1.39744,0.67394,0.59666,0.65836,0.35491,1.62262,1.49473,1.50778,0.00717143,0.00717143,0.00717143
22,5890.32,1.44927,1.30229,1.388,0.67387,0.6016,0.66063,0.36296,1.59253,1.39091,1.49323,0.00703,0.00703,0.00703
23,6155.33,1.4499,1.30251,1.3869,0.68775,0.61824,0.6832,0.38069,1.57,1.29978,1.4578,0.00688857,0.00688857,0.00688857
24,6420.44,1.44179,1.28216,1.38098,0.68866,0.6145,0.6724,0.37274,1.58027,1.32306,1.48306,0.00674714,0.00674714,0.00674714
25,6686.61,1.44058,1.25561,1.37125,0.6885,0.62555,0.68771,0.38867,1.54002,1.36793,1.44815,0.00660571,0.00660571,0.00660571
26,6952.23,1.42487,1.24949,1.36623,0.70418,0.62163,0.69002,0.38537,1.56636,1.28458,1.4653,0.00646429,0.00646429,0.00646429
27,7218.31,1.42032,1.23483,1.36091,0.70336,0.62592,0.69441,0.39094,1.56087,1.30776,1.44767,0.00632286,0.00632286,0.00632286
28,7484.08,1.41634,1.23781,1.36079,0.70863,0.63466,0.70593,0.39932,1.54843,1.25234,1.4506,0.00618143,0.00618143,0.00618143
29,7749.95,1.4044,1.21169,1.34321,0.69644,0.6498,0.70742,0.40307,1.5281,1.23002,1.43571,0.00604,0.00604,0.00604
30,8016.27,1.41022,1.21349,1.35519,0.7002,0.65551,0.71134,0.4045,1.53745,1.22696,1.43154,0.00589857,0.00589857,0.00589857
31,8282.8,1.39256,1.18601,1.34375,0.71592,0.65683,0.71813,0.41119,1.53454,1.17832,1.43814,0.00575714,0.00575714,0.00575714
32,8549.26,1.38222,1.17841,1.33557,0.72327,0.66488,0.72704,0.4133,1.52966,1.19499,1.42626,0.00561571,0.00561571,0.00561571
33,8815.17,1.39229,1.18194,1.33798,0.72108,0.66197,0.72252,0.41524,1.54188,1.19501,1.44201,0.00547429,0.00547429,0.00547429
34,9082.51,1.37936,1.16584,1.33336,0.73048,0.65174,0.72531,0.42155,1.52468,1.18705,1.44168,0.00533286,0.00533286,0.00533286
35,9347.73,1.3723,1.14721,1.32722,0.7148,0.67558,0.7297,0.42155,1.5172,1.1517,1.43506,0.00519143,0.00519143,0.00519143
36,9612.31,1.37402,1.15111,1.32278,0.73554,0.65907,0.73235,0.42214,1.50554,1.13993,1.42015,0.00505,0.00505,0.00505
37,9878.11,1.36079,1.13502,1.31958,0.72744,0.67242,0.73583,0.42422,1.51919,1.14239,1.43338,0.00490857,0.00490857,0.00490857
38,10142.6,1.35846,1.13014,1.31623,0.73698,0.67348,0.739,0.42551,1.50785,1.13645,1.41928,0.00476714,0.00476714,0.00476714
39,10407.7,1.35537,1.11114,1.31053,0.73066,0.66992,0.73755,0.42645,1.50812,1.12496,1.42135,0.00462571,0.00462571,0.00462571
40,10672.6,1.34406,1.097,1.31052,0.7328,0.672,0.73775,0.42601,1.50268,1.11338,1.41317,0.00448429,0.00448429,0.00448429
41,10938.4,1.33331,1.09905,1.29944,0.75503,0.66757,0.74647,0.43201,1.50425,1.1197,1.41836,0.00434286,0.00434286,0.00434286
42,11204.1,1.33702,1.08969,1.30112,0.74099,0.6736,0.74536,0.4351,1.50068,1.12184,1.41315,0.00420143,0.00420143,0.00420143
43,11470.8,1.32558,1.08359,1.2922,0.73392,0.68203,0.74572,0.43139,1.50788,1.10158,1.42243,0.00406,0.00406,0.00406
44,11736.9,1.33101,1.08436,1.29623,0.73531,0.68039,0.74602,0.43536,1.51001,1.11506,1.42417,0.00391857,0.00391857,0.00391857
45,12002.1,1.31874,1.06941,1.28634,0.74692,0.68546,0.75208,0.43825,1.50113,1.08676,1.41641,0.00377714,0.00377714,0.00377714
46,12268.2,1.3129,1.04625,1.28236,0.76145,0.6749,0.75155,0.43938,1.50705,1.08674,1.42302,0.00363571,0.00363571,0.00363571
47,12532.7,1.31073,1.04552,1.28511,0.76207,0.67567,0.75293,0.44005,1.50679,1.08095,1.41847,0.00349429,0.00349429,0.00349429
48,12798.5,1.31054,1.03636,1.27746,0.75414,0.67527,0.75292,0.44118,1.50129,1.07839,1.41177,0.00335286,0.00335286,0.00335286
49,13064.1,1.29309,1.02473,1.2713,0.75044,0.68247,0.75391,0.44286,1.49879,1.0754,1.41181,0.00321143,0.00321143,0.00321143
50,13328.6,1.28616,1.01117,1.26395,0.73737,0.69091,0.75365,0.4418,1.50055,1.08218,1.41889,0.00307,0.00307,0.00307
51,13594,1.28775,1.02128,1.26841,0.7549,0.67654,0.75438,0.4429,1.49961,1.0794,1.41871,0.00292857,0.00292857,0.00292857
52,13859.6,1.27901,1.00453,1.26392,0.76675,0.67279,0.75459,0.44444,1.4906,1.06331,1.41042,0.00278714,0.00278714,0.00278714
53,14125.3,1.2767,1.00325,1.25823,0.76631,0.67276,0.75665,0.44471,1.49705,1.06511,1.41463,0.00264571,0.00264571,0.00264571
54,14390.2,1.26751,0.9867,1.25199,0.75542,0.6862,0.75811,0.44606,1.49617,1.06242,1.41675,0.00250429,0.00250429,0.00250429
55,14654.5,1.27346,0.98897,1.25458,0.76089,0.68378,0.75743,0.4446,1.49765,1.06768,1.41773,0.00236286,0.00236286,0.00236286
56,14919.8,1.26284,0.9763,1.24875,0.75924,0.68201,0.7585,0.44364,1.49845,1.06464,1.41468,0.00222143,0.00222143,0.00222143
57,15185,1.25682,0.97193,1.24324,0.75716,0.68184,0.75778,0.44474,1.49736,1.06317,1.41276,0.00208,0.00208,0.00208
58,15449.3,1.24885,0.9469,1.23858,0.76256,0.68944,0.76156,0.44558,1.49541,1.05265,1.41374,0.00193857,0.00193857,0.00193857
59,15714.9,1.23496,0.93367,1.2313,0.7571,0.68956,0.76082,0.4459,1.49278,1.0452,1.41004,0.00179714,0.00179714,0.00179714
60,15980.9,1.23442,0.93448,1.22821,0.75645,0.68777,0.76275,0.4472,1.49558,1.04237,1.41188,0.00165571,0.00165571,0.00165571
61,16235.2,1.26501,0.89274,1.2523,0.76039,0.6926,0.76183,0.44637,1.49856,1.03596,1.41321,0.00151429,0.00151429,0.00151429
62,16490,1.24042,0.85285,1.23554,0.76528,0.68813,0.76127,0.44673,1.49569,1.03772,1.41122,0.00137286,0.00137286,0.00137286
63,16746.3,1.22853,0.83933,1.23008,0.76609,0.6838,0.7607,0.44716,1.49297,1.03368,1.41074,0.00123143,0.00123143,0.00123143
64,17001.3,1.21084,0.82449,1.22263,0.76314,0.68934,0.76007,0.44683,1.49211,1.03447,1.40947,0.00109,0.00109,0.00109
65,17255.3,1.20815,0.81253,1.21302,0.76619,0.68423,0.76033,0.44679,1.49246,1.03133,1.41077,0.000948571,0.000948571,0.000948571
66,17509.7,1.20022,0.79764,1.20363,0.76048,0.69025,0.76071,0.44784,1.49336,1.0287,1.41252,0.000807143,0.000807143,0.000807143
67,17763.4,1.19194,0.79379,1.2044,0.76394,0.68758,0.7598,0.44787,1.49565,1.02662,1.41523,0.000665714,0.000665714,0.000665714
68,18018.2,1.17857,0.7857,1.19873,0.76535,0.68847,0.76063,0.44766,1.49834,1.031,1.41803,0.000524286,0.000524286,0.000524286
69,18272.4,1.17382,0.77691,1.19108,0.76416,0.68809,0.76015,0.44737,1.50017,1.03166,1.42067,0.000382857,0.000382857,0.000382857
70,18526.8,1.16363,0.76319,1.18617,0.76791,0.68403,0.76026,0.44698,1.50137,1.03199,1.42253,0.000241429,0.000241429,0.000241429
