epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,280.119,1.62612,2.80259,1.53811,0.34401,0.33696,0.2679,0.11894,1.86958,3.60865,1.7564,0.0701389,0.0033179,0.0033179
2,546.877,1.63201,1.9064,1.48717,0.28808,0.31178,0.17797,0.06536,2.26471,3.56626,2.17467,0.0400448,0.00655717,0.00655717
3,815.212,1.73832,1.94424,1.57742,0.30981,0.27584,0.20386,0.08027,2.18,3.14141,1.99398,0.00985647,0.00970215,0.00970215
4,1084.09,1.79445,1.97903,1.62967,0.39528,0.33249,0.29127,0.11585,2.18701,2.96044,1.93405,0.00957571,0.00957571,0.00957571
5,1351.51,1.72628,1.83199,1.58798,0.35533,0.30356,0.2503,0.109,2.14461,4.64351,2.02588,0.00943429,0.00943429,0.00943429
6,1619.04,1.68061,1.74721,1.54793,0.51021,0.42791,0.42716,0.19951,1.90836,2.4368,1.74701,0.00929286,0.00929286,0.00929286
7,1885.49,1.6538,1.67256,1.53119,0.55444,0.49492,0.50866,0.2454,1.78463,2.25304,1.64473,0.00915143,0.00915143,0.00915143
8,2153.92,1.62329,1.63126,1.5164,0.52388,0.46559,0.46573,0.22751,1.83283,2.92987,1.74381,0.00901,0.00901,0.00901
9,2421.8,1.60577,1.58607,1.49725,0.60297,0.53183,0.56449,0.28812,1.76295,1.79475,1.60262,0.00886857,0.00886857,0.00886857
10,2688.9,1.57972,1.54646,1.47965,0.48406,0.39312,0.39562,0.19202,1.92826,2.21819,1.70778,0.00872714,0.00872714,0.00872714
11,2956.23,1.57029,1.51276,1.47279,0.60961,0.52552,0.56635,0.29496,1.6973,1.63965,1.55871,0.00858571,0.00858571,0.00858571
12,3223.04,1.55012,1.4843,1.452,0.60709,0.52571,0.55737,0.28588,1.73219,1.70807,1.58644,0.00844429,0.00844429,0.00844429
13,3490.91,1.53307,1.44306,1.4489,0.62562,0.56431,0.58849,0.30759,1.72276,1.66382,1.58421,0.00830286,0.00830286,0.00830286
14,3757.5,1.5187,1.42641,1.43878,0.61969,0.50422,0.54674,0.28188,1.69888,1.71601,1.57639,0.00816143,0.00816143,0.00816143
