epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.6956,3.47658,3.90377,4.20193,0,0,0,0,0,111.482,0,0.0700728,0.00332524,0.00332524
2,93.272,3.41847,3.48936,3.95945,0,0,0,0,0,271.877,0,0.039941,0.00652674,0.00652674
3,135.075,3.08102,3.12813,3.51895,0,0,0,0,0,557.23,0,0.00967714,0.00959623,0.00959623
4,176.544,2.88039,2.96126,3.22843,0,0,0,0,0,108.613,0,0.009406,0.009406,0.009406
5,218.111,2.65264,2.74834,3.00534,0,0,0,0,0,73.5985,0,0.009208,0.009208,0.009208
6,259.841,2.50222,2.66743,2.84207,0,0,0,0,0,17.0303,0,0.00901,0.00901,0.00901
7,301.427,2.36844,2.57248,2.71387,0,0,0,0,0,40.8888,0,0.008812,0.008812,0.008812
8,342.865,2.29436,2.48014,2.63957,0,0,0,0,0,53.5065,0,0.008614,0.008614,0.008614
9,384.389,2.2192,2.40298,2.55045,0,0,0,0,0,29.3857,0,0.008416,0.008416,0.008416
10,426.234,2.17312,2.31103,2.46303,0,0,0,0,0,25.1292,0,0.008218,0.008218,0.008218
11,467.887,2.12144,2.27079,2.41219,0,0,0,0,0,37.0972,0,0.00802,0.00802,0.00802
