epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,257.47,1.78313,3.40369,1.68804,0.36437,0.4265,0.31073,0.14233,1.85702,2.7455,1.67405,0.0701389,0.0033179,0.0033179
2,509.756,1.8044,2.17604,1.6299,0.29537,0.31247,0.21723,0.08428,2.13053,3.10948,1.86506,0.0394804,0.00599276,0.00599276
3,763.723,1.91028,2.14946,1.72281,0.24394,0.23858,0.13563,0.05351,2.33445,5.63393,2.26043,0.00816194,0.00800762,0.00800762
4,1016.77,1.97284,2.17009,1.78698,0.43073,0.365,0.32049,0.13493,2.06058,2.60586,1.89446,0.00703,0.00703,0.00703
5,1269.25,1.85031,1.94081,1.70415,0.46101,0.39184,0.36551,0.16254,2.05421,2.6077,1.87438,0.00604,0.00604,0.00604
6,1521.91,1.76402,1.77972,1.64072,0.53034,0.47294,0.46164,0.2251,1.78424,2.71203,1.65264,0.00505,0.00505,0.00505
7,1773.85,1.69401,1.63534,1.57712,0.55264,0.46088,0.47007,0.22706,1.87441,1.98218,1.67114,0.00406,0.00406,0.00406
8,2026.97,1.62968,1.54553,1.5261,0.62446,0.51951,0.56524,0.29997,1.70756,1.69199,1.55297,0.00307,0.00307,0.00307
9,2279.65,1.57156,1.43798,1.48263,0.64729,0.56892,0.61643,0.32593,1.64608,1.56027,1.51515,0.00208,0.00208,0.00208
10,2531.55,1.51124,1.34838,1.44103,0.69174,0.58163,0.64569,0.35365,1.5954,1.44242,1.49548,0.00109,0.00109,0.00109
